,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament,handedness,Height
588,0.180722892,0.592857143,107.7831325,89.56,0.518072289,0.481927711,0.05,M,Gilles Muller,Bernard Tomic,114,0.592857143,hard,us,R,76.77
589,0.25,0.628571429,108.8863636,90.95833333,0.517857143,0.482142857,0.028571429,M,Thomaz Bellucci,Bernard Tomic,94,0.8,hard,aus,R,76.77
590,0.197916667,0.71641791,107.7291667,82.33333333,0.5,0.5,0.014925373,M,Victor Estrella Burgos,Bernard Tomic,154,0.731343284,hard,aus,R,76.77
591,0.243902439,0.719298246,107.5243902,87.09677419,0.534246575,0.465753425,0.00877193,M,Daniel Evans,Bernard Tomic,119,0.640350877,hard,aus,R,76.77
68,0.145454545,0.433070866,100.9818182,82.125,0.507462687,0.492537313,0.062992126,M,Tomas Berdych,Jan Lennard Struff,103,0.527559055,clay,french,R,77.17
69,0.160714286,0.513761468,124.6785714,98.875,0.507246377,0.492753623,0.04587156,M,Milos Raonic,Jan Lennard Struff,99,0.633027523,grass,wimbledon,R,77.17
70,0.175675676,0.528571429,128.5945946,100.9821429,0.470588235,0.529411765,0.071428571,M,Dominic Thiem,Jan Lennard Struff,135,0.607142857,hard,aus,R,77.17
71,0.064516129,0.596153846,108.6290323,85.58974359,0.529411765,0.470588235,0.028846154,M,Jan Lennard Struff,Tomas Berdych,128,0.653846154,clay,french,R,77.17
72,0.122807018,0.57,110.7719298,78.88095238,0.569230769,0.430769231,0.01,M,Karen Khachanov,Tomas Berdych,90,0.65,clay,french,R,77.17
73,0.1875,0.576576577,121.28125,101.0227273,0.476744186,0.523255814,0.027027027,M,Jeremy Chardy,Tomas Berdych,116,0.774774775,grass,wimbledon,R,77.17
74,0.236842105,0.672566372,119.6184211,96.11111111,0.476744186,0.523255814,0.008849558,M,Ryan Harrison,Tomas Berdych,134,0.761061947,grass,wimbledon,R,77.17
75,0.066666667,0.6,120.6,101.1034483,0.473684211,0.526315789,0.013333333,M,David Ferrer,Tomas Berdych,96,0.76,grass,wimbledon,R,77.17
76,0.142857143,0.744680851,118.9714286,99.88235294,0.471698113,0.528301887,0.014184397,M,Dominic Thiem,Tomas Berdych,145,0.75177305,grass,wimbledon,R,77.17
77,0.037037037,0.586956522,119.8518519,101.1111111,0.457142857,0.542857143,0.02173913,M,Novak Djokovic,Tomas Berdych,53,0.760869565,grass,wimbledon,R,77.17
78,0.101265823,0.6171875,120.9746835,99.40816327,0.536585366,0.463414634,0,M,Roger Federer,Tomas Berdych,107,0.640625,grass,wimbledon,R,77.17
79,0.14516129,0.607843137,120.4677419,85.91428571,0.537313433,0.462686567,0.049019608,M,Ryan Harrison,Tomas Berdych,108,0.656862745,hard,us,R,77.17
80,0.13559322,0.450381679,118.3728814,95.66666667,0.48,0.52,0.091603053,M,Alexandr Dolgopolov,Tomas Berdych,105,0.572519084,hard,us,R,77.17
81,0.2,0.454545455,119.1,94.6,0.470588235,0.529411765,0.090909091,M,Luca Vanni,Tomas Berdych,33,0.772727273,hard,aus,R,77.17
82,0.3125,0.64,120.5416667,93.28,0.525423729,0.474576271,0.026666667,M,Ryan Harrison,Tomas Berdych,120,0.786666667,hard,aus,R,77.17
83,0.254901961,0.62962963,122.2156863,99.44444444,0.423076923,0.576923077,0.037037037,M,Roger Federer,Tomas Berdych,66,0.641975309,hard,aus,R,77.17
168,0.133333333,0.547445255,97.37333333,80.96,0.538461538,0.461538462,0.087591241,M,Kei Nishikori,Thanasi Kokkinakis,119,0.569343066,clay,french,R,77.17
169,0.219178082,0.565891473,120.5205479,99.19607843,0.535714286,0.464285714,0.03875969,M,Juan Martin Del Potro,Thanasi Kokkinakis,121,0.651162791,grass,wimbledon,R,77.17
170,0.15,0.615384615,117.0333333,93.61764706,0.474137931,0.525862069,0.035897436,M,Janko Tipsarevic,Thanasi Kokkinakis,165,0.594871795,hard,us,R,77.17
243,0.1,0.444444444,97.625,72.85365854,0.553191489,0.446808511,0.1,M,Gael Monfils,Dustin Brown,74,0.522222222,clay,french,R,77.17
244,0.1625,0.714285714,0,0,0.554216867,0.445783133,0.0625,M,Joao Sousa,Dustin Brown,118,0.741071429,grass,wimbledon,R,77.17
245,0.085106383,0.540229885,115.5744681,105.1388889,0.510638298,0.489361702,0.045977011,M,Andy Murray,Dustin Brown,61,0.540229885,grass,wimbledon,R,77.17
