,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
55,0.0,0.48,1.0,0.52,M,Rafael Nadal,Taro Daniel,hard,us
56,0.3333333333333333,0.48717948717948717,0.6666666666666666,0.5128205128205128,M,Leonardo Mayer,Yuichi Sugita,hard,us
57,0.3,0.4675324675324675,0.7,0.5324675324675324,M,Yuichi Sugita,Leonardo Mayer,hard,us
58,0.4444444444444444,0.4888888888888889,0.5555555555555556,0.5111111111111111,M,Viktor Troicki,Stefano Travaglia,hard,us
59,0.5,0.4791666666666667,0.5,0.5208333333333334,M,Stefano Travaglia,Viktor Troicki,hard,us
60,0.5714285714285714,0.43636363636363634,0.42857142857142855,0.5636363636363636,M,Tomas Berdych,Alexandr Dolgopolov,hard,us
61,0.75,0.5254237288135594,0.25,0.4745762711864407,M,Alexandr Dolgopolov,Tomas Berdych,hard,us
62,0.42857142857142855,0.55,0.5714285714285714,0.45,M,Guido Pella,David Goffin,hard,us
63,0.5625,0.5,0.4375,0.5,M,David Goffin,Guido Pella,hard,us
64,0.7142857142857143,0.4479166666666667,0.2857142857142857,0.5520833333333334,M,Gael Monfils,Donald Young,hard,us
65,0.4375,0.5421686746987951,0.5625,0.4578313253012048,M,Donald Young,Gael Monfils,hard,us
66,0.14285714285714285,0.5394736842105263,0.8571428571428571,0.4605263157894737,M,Grigor Dimitrov,Andrey Rublev,hard,us
67,0.7,0.5,0.3,0.5,M,Andrey Rublev,Grigor Dimitrov,hard,us
68,0.5833333333333334,0.42528735632183906,0.4166666666666667,0.5747126436781609,M,Mikhail Youzhny,Roger Federer,hard,us
69,0.6,0.4954128440366973,0.4,0.5045871559633027,M,Roger Federer,Mikhail Youzhny,hard,us
70,0.625,0.5,0.375,0.5,M,Feliciano Lopez,Fernando Verdasco,hard,us
71,0.3,0.53125,0.7,0.46875,M,Fernando Verdasco,Feliciano Lopez,hard,us
72,0.6666666666666666,0.5428571428571428,0.3333333333333333,0.45714285714285713,M,Santiago Giraldo,Philipp Kohlschreiber,hard,us
73,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5555555555555556,M,Philipp Kohlschreiber,Santiago Giraldo,hard,us
74,1.0,0.49019607843137253,0.0,0.5098039215686274,M,John Millman,Malek Jaziri,hard,us
75,0.2,0.5081967213114754,0.8,0.4918032786885246,M,Malek Jaziri,John Millman,hard,us
76,0.625,0.543859649122807,0.375,0.45614035087719296,M,Juan Martin del Potro,Adrian Menendez Maceiras,hard,us
