1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.032258065,0.720930233,93.43548387,87.71428571,0.474576271,0.525423729,0.034883721,M,Dustin Brown,Gael Monfils,102,0.686046512,clay,french
0.037383178,0.652439024,110.3457944,82.5,0.494949495,0.505050505,0.030487805,M,Renzo Olivo,Jo Wilfried Tsonga,162,0.603658537,clay,french
0,0.679012346,106.1181818,81.87755102,0.505050505,0.494949495,0.018518519,M,Jo Wilfried Tsonga,Renzo Olivo,164,0.611111111,clay,french
0.041666667,0.592592593,72.14583333,51.76666667,0.50877193,0.49122807,0.037037037,M,Gastao Elias,Kyle Edmund,90,0.703703704,clay,french
0.119047619,0.56,61.45238095,54.15625,0.476190476,0.523809524,0.013333333,M,Kyle Edmund,Gastao Elias,66,0.56,clay,french
0.137931034,0.707317073,0,0,0.458333333,0.541666667,0.048780488,M,Malek Jaziri,Kevin Anderson,35,0.585365854,clay,french
0.05,0.571428571,0,0,0.458333333,0.541666667,0.028571429,M,Kevin Anderson,Malek Jaziri,41,0.685714286,clay,french
0.104166667,0.564705882,87.4375,84.15151515,0.5,0.5,0.047058824,M,Nick Kyrgios,Philipp Kohlschreiber,84,0.682352941,clay,french
0.294117647,0.701030928,100.8088235,78.12,0.549295775,0.450704225,0.041237113,M,Philipp Kohlschreiber,Nick Kyrgios,98,0.731958763,clay,french
0.111111111,0.606741573,0,0,0.492063492,0.507936508,0.04494382,M,Donald Young,David Ferrer,214,0.707865169,clay,french
0.038461538,0.596330275,0,0,0.469230769,0.530769231,0.02293578,M,David Ferrer,Donald Young,182,0.596330275,clay,french
0.104477612,0.644230769,0,0,0.521126761,0.478873239,0.038461538,M,Federico Delbonis,Konstantin Kravchuk,95,0.682692308,clay,french
0.098039216,0.607142857,0,0,0.5,0.5,0.023809524,M,Konstantin Kravchuk,Federico Delbonis,93,0.714285714,clay,french
0.108695652,0.567901235,100.5869565,86.78125,0.428571429,0.571428571,0.037037037,M,Marin Cilic,Ernests Gulbis,66,0.604938272,clay,french
0.179487179,0.52,103.025641,88.38709677,0.534482759,0.465517241,0.066666667,M,Ernests Gulbis,Marin Cilic,90,0.773333333,clay,french
0.279069767,0.614285714,112.7209302,111.5909091,0.473684211,0.526315789,0.071428571,M,Steve Darcis,Milos Raonic,86,0.814285714,clay,french
0.039215686,0.718309859,94.19607843,72.22222222,0.5,0.5,0.028169014,M,Milos Raonic,Steve Darcis,55,0.591549296,clay,french
0.1375,0.529801325,0,0,0.554347826,0.445652174,0.046357616,M,Mikhail Youzhny,Rogerio Dutra Silva,178,0.609271523,clay,french
0.086206897,0.571428571,0,0,0.495726496,0.504273504,0.024630542,M,Rogerio Dutra Silva,Mikhail Youzhny,176,0.57635468,clay,french
0.029411765,0.582857143,88.29411765,76.47619048,0.490909091,0.509090909,0.057142857,M,Quentin Halys,Marco Trungelliti,183,0.628571429,clay,french
0.173913043,0.50273224,100.1521739,85,0.490909091,0.509090909,0.092896175,M,Marco Trungelliti,Quentin Halys,175,0.601092896,clay,french
0.230769231,0.546218487,85.27692308,80.56,0.47826087,0.52173913,0.033613445,M,Gilles Muller,Guillermo Garcia Lopez,149,0.773109244,clay,french
0.265060241,0.560810811,87.4939759,67.73076923,0.549450549,0.450549451,0.087837838,M,Guillermo Garcia Lopez,Gilles Muller,118,0.614864865,clay,french
0.19047619,0.56,102.7857143,84.13333333,0.528301887,0.471698113,0.04,M,Florian Mayer,Pablo Carreno Busta,101,0.706666667,clay,french
0.054545455,0.555555556,102.5090909,75,0.411764706,0.588235294,0.02020202,M,Pablo Carreno Busta,Florian Mayer,73,0.515151515,clay,french
0.125,0.703296703,96.34375,80.81481481,0.492307692,0.507692308,0,M,Jerzy Janowicz,Taro Daniel,108,0.714285714,clay,french
0.191176471,0.666666667,101.5294118,87,0.423728814,0.576271186,0.058823529,M,Taro Daniel,Jerzy Janowicz,85,0.578431373,clay,french
0.092307692,0.65,81.06153846,68.03030303,0.53030303,0.46969697,0.02,M,Daniel Evans,Tommy Robredo,120,0.66,clay,french
0.030769231,0.580357143,89.41538462,69.45945946,0.431034483,0.568965517,0.089285714,M,Tommy Robredo,Daniel Evans,92,0.517857143,clay,french
0.027027027,0.506849315,85.21621622,69.85294118,0.513513514,0.486486486,0.02739726,M,Grigor Dimitrov,Stephane Robert,64,0.506849315,clay,french
0.177777778,0.535714286,102.2,79.6,0.50877193,0.49122807,0.047619048,M,Stephane Robert,Grigor Dimitrov,93,0.678571429,clay,french
0.108108108,0.627118644,95.77027027,79.925,0.5,0.5,0.033898305,M,Jiri Vesely,Jack Sock,101,0.559322034,clay,french
0.103448276,0.563106796,96.22413793,83.58139535,0.470588235,0.529411765,0.019417476,M,Jack Sock,Jiri Vesely,120,0.660194175,clay,french
0.305555556,0.444444444,87.75,70.53333333,0.508196721,0.491803279,0,M,Ryan Harrison,Aljaz Bedene,102,0.75308642,clay,french
0.155555556,0.494505495,100.3111111,96.5,0.44,0.56,0.065934066,M,Aljaz Bedene,Ryan Harrison,70,0.549450549,clay,french
0.02739726,0.848837209,0,0,0.5,0.5,0,M,Tennys Sandgren,Mikhail Kukushkin,93,0.720930233,clay,french
0.05,0.571428571,0,0,0.487179487,0.512820513,0,M,Mikhail Kukushkin,Tennys Sandgren,63,0.557142857,clay,french
0.127659574,0.516483516,0,0,0.511111111,0.488888889,0.010989011,M,Roberto Bautista Agut,John Millman,80,0.494505495,clay,french
0.057692308,0.571428571,0,0,0.5,0.5,0.032967033,M,John Millman,Roberto Bautista Agut,102,0.615384615,clay,french
0,0.428571429,107.5777778,80.12280702,0.490196078,0.509803922,0.028571429,M,Nikoloz Basilashvili,Gilles Simon,98,0.485714286,clay,french
0,0.740384615,94.98701299,79.39130435,0.473684211,0.526315789,0.038461538,M,Gilles Simon,Nikoloz Basilashvili,111,0.548076923,clay,french
0.083333333,0.558139535,0,0,0.445783133,0.554216867,0.031007752,M,Evgeny Donskoy,Viktor Troicki,116,0.643410853,clay,french
0.102564103,0.481481481,0,0,0.520833333,0.479166667,0.024691358,M,Viktor Troicki,Evgeny Donskoy,94,0.592592593,clay,french
0.162790698,0.565789474,116.3255814,91.87096774,0.471698113,0.528301887,0.026315789,M,Alex De Minaur,Robin Haase,89,0.697368421,clay,french
0.0625,0.631578947,103.4583333,85.58333333,0.475,0.525,0.052631579,M,Robin Haase,Alex De Minaur,63,0.526315789,clay,french
0,0.487804878,91.25,72.825,0.555555556,0.444444444,0.024390244,M,Rafael Nadal,Benoit Paire,57,0.43902439,clay,french
0.023809524,0.636363636,96.73809524,86.77272727,0.466666667,0.533333333,0.03030303,M,Benoit Paire,Rafael Nadal,91,0.681818182,clay,french
0.333333333,0.55,109.3030303,91.38461538,0.458333333,0.541666667,0.016666667,M,Bernard Tomic,Dominic Thiem,88,0.8,clay,french
0.06122449,0.6125,93.93877551,86.13793103,0.425,0.575,0.025,M,Dominic Thiem,Bernard Tomic,52,0.5,clay,french
0.068965517,0.783783784,104.2586207,91.25,0.490909091,0.509090909,0,M,Nicolas Mahut,Simone Bolelli,94,0.743243243,clay,french
0.104166667,0.564705882,103.4166667,88.97142857,0.47826087,0.52173913,0.023529412,M,Simone Bolelli,Nicolas Mahut,65,0.541176471,clay,french
0.153846154,0.571428571,94.21153846,84.21052632,0.438596491,0.561403509,0.010989011,M,Borna Coric,Mathias Bourgue,83,0.626373626,clay,french
0.068965517,0.591836735,111.1551724,73.92307692,0.486111111,0.513888889,0.010204082,M,Mathias Bourgue,Borna Coric,106,0.734693878,clay,french
0.038461538,0.615384615,97.35576923,79.03389831,0.495049505,0.504950495,0.035502959,M,Steve Johnson,Yuichi Sugita,156,0.597633136,clay,french
0.158536585,0.529032258,103.9268293,85.59375,0.51,0.49,0.058064516,M,Yuichi Sugita,Steve Johnson,168,0.64516129,clay,french
0.158730159,0.677419355,113.3809524,105.8888889,0.513888889,0.486111111,0.032258065,M,Stefanos Tsitsipas,Ivo Karlovic,114,0.774193548,clay,french
