,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
51,0.35294117647058826,0.44776119402985076,0.6470588235294118,0.5522388059701493,M,Julien Benneteau,Sergiy Stakhovsky,grass,wimbledon
52,0.6,0.5245901639344263,0.4,0.47540983606557374,M,Marius Copil,Peter Gojowczyk,grass,wimbledon
53,0.36363636363636365,0.4878048780487805,0.6363636363636364,0.5121951219512195,M,Peter Gojowczyk,Marius Copil,grass,wimbledon
54,0.3333333333333333,0.52,0.6666666666666666,0.48,M,Roberto Bautista Agut,Andreas Haider Maurer,grass,wimbledon
55,0.4,0.5,0.6,0.5,M,Andreas Haider Maurer,Roberto Bautista Agut,grass,wimbledon
56,0.18181818181818182,0.4603174603174603,0.8181818181818182,0.5396825396825397,M,Nicolas Kicker,Steve Johnson,grass,wimbledon
57,0.3333333333333333,0.5084745762711864,0.6666666666666666,0.4915254237288136,M,Steve Johnson,Nicolas Kicker,grass,wimbledon
58,0.2727272727272727,0.5,0.7272727272727273,0.5,M,Radu Albot,Facundo Bagnis,grass,wimbledon
59,0.25,0.509090909090909,0.75,0.4909090909090909,M,Facundo Bagnis,Radu Albot,grass,wimbledon
60,0.0,0.36363636363636365,0.0,0.6363636363636364,M,Florian Mayer,Viktor Troicki,grass,wimbledon
61,0.5,0.38461538461538464,0.5,0.6153846153846154,M,Viktor Troicki,Florian Mayer,grass,wimbledon
62,0.3333333333333333,0.4745762711864407,0.6666666666666666,0.5254237288135594,M,Marin Cilic,Philipp Kohlschreiber,grass,wimbledon
63,0.4666666666666667,0.42857142857142855,0.5333333333333333,0.5714285714285714,M,Philipp Kohlschreiber,Marin Cilic,grass,wimbledon
64,0.7222222222222222,0.5135135135135135,0.2777777777777778,0.4864864864864865,M,Jan Lennard Struff,Milos Raonic,grass,wimbledon
65,0.6666666666666666,0.48214285714285715,0.3333333333333333,0.5178571428571429,M,Milos Raonic,Jan Lennard Struff,grass,wimbledon
66,0.25,0.4533333333333333,0.75,0.5466666666666666,M,Nicolas Mahut,Mikhail Youzhny,grass,wimbledon
67,0.5,0.4339622641509434,0.5,0.5660377358490566,M,Mikhail Youzhny,Nicolas Mahut,grass,wimbledon
68,0.5,0.5046728971962616,0.5,0.4953271028037383,M,Stefano Travaglia,Andrey Rublev,grass,wimbledon
69,0.6,0.47959183673469385,0.4,0.5204081632653061,M,Andrey Rublev,Stefano Travaglia,grass,wimbledon
70,0.2,0.5,0.8,0.5,M,Albert Ramos Vinolas,Jordan Thompson,grass,wimbledon
71,0.6666666666666666,0.46511627906976744,0.3333333333333333,0.5348837209302325,M,Jordan Thompson,Albert Ramos Vinolas,grass,wimbledon
72,0.3333333333333333,0.5245901639344263,0.6666666666666666,0.47540983606557374,M,Christian Garin,Jack Sock,grass,wimbledon
73,0.8,0.4461538461538462,0.2,0.5538461538461539,M,Jack Sock,Christian Garin,grass,wimbledon
74,0.3333333333333333,0.43243243243243246,0.6666666666666666,0.5675675675675675,M,Sebastian Ofner,Thomaz Bellucci,grass,wimbledon
75,0.75,0.46153846153846156,0.25,0.5384615384615384,M,Thomaz Bellucci,Sebastian Ofner,grass,wimbledon
76,0.46153846153846156,0.5113636363636364,0.5384615384615384,0.48863636363636365,M,Frances Tiafoe,Robin Haase,grass,wimbledon
77,0.4,0.4691358024691358,0.6,0.5308641975308642,M,Robin Haase,Frances Tiafoe,grass,wimbledon
78,0.42857142857142855,0.44,0.5714285714285714,0.56,M,Alexander Zverev,Evgeny Donskoy,grass,wimbledon
79,0.6428571428571429,0.4927536231884058,0.35714285714285715,0.5072463768115942,M,Evgeny Donskoy,Alexander Zverev,grass,wimbledon
80,0.7777777777777778,0.4489795918367347,0.2222222222222222,0.5510204081632653,M,Diego Schwartzman,Grigor Dimitrov,grass,wimbledon
81,0.5,0.4791666666666667,0.5,0.5208333333333334,M,Grigor Dimitrov,Diego Schwartzman,grass,wimbledon
82,0.5,0.46551724137931033,0.5,0.5344827586206896,M,Marcos Baghdatis,James Ward,grass,wimbledon
83,0.47058823529411764,0.4772727272727273,0.5294117647058824,0.5227272727272727,M,James Ward,Marcos Baghdatis,grass,wimbledon
84,0.0,0.4574468085106383,0.0,0.5425531914893617,M,Marcel Granollers,Dudi Sela,grass,wimbledon
85,0.5,0.55,0.5,0.45,M,Dudi Sela,Marcel Granollers,grass,wimbledon
86,0.6666666666666666,0.52,0.3333333333333333,0.48,M,John Isner,Taylor Fritz,grass,wimbledon
87,0.43478260869565216,0.53125,0.5652173913043478,0.46875,M,Taylor Fritz,John Isner,grass,wimbledon
88,0.4117647058823529,0.4375,0.5882352941176471,0.5625,M,Bernard Tomic,Mischa Zverev,grass,wimbledon
89,0.5,0.5256410256410257,0.5,0.47435897435897434,M,Mischa Zverev,Bernard Tomic,grass,wimbledon
90,0.5454545454545454,0.4725274725274725,0.45454545454545453,0.5274725274725275,M,Taro Daniel,Mikhail Kukushkin,grass,wimbledon
91,0.2,0.45121951219512196,0.8,0.5487804878048781,M,Mikhail Kukushkin,Taro Daniel,grass,wimbledon
