,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
132,0.18604651162790697,0.5733333333333334,111.54651162790698,87.31666666666666,0.5046728971962616,0.4953271028037383,0.02666666666666667,M,Nick Kyrgios,Andreas Seppi,163,0.7133333333333334,hard,aus
133,0.2288135593220339,0.6900584795321637,119.37288135593221,108.26666666666667,0.5130434782608696,0.48695652173913045,0.04678362573099415,M,Andreas Seppi,Nick Kyrgios,158,0.672514619883041,hard,aus
134,0.3333333333333333,0.569620253164557,113.95555555555555,85.875,0.45454545454545453,0.5454545454545454,0.02531645569620253,M,Dusan Lajovic,Jo Wilfried Tsonga,97,0.6962025316455697,hard,aus
135,0.017543859649122806,0.6705882352941176,102.3859649122807,81.39285714285714,0.5813953488372093,0.4186046511627907,0.0,M,Jo Wilfried Tsonga,Dusan Lajovic,67,0.5058823529411764,hard,aus
136,0.1724137931034483,0.5225225225225225,113.44827586206897,94.36170212765957,0.49206349206349204,0.5079365079365079,0.05405405405405406,M,Jack Sock,Karen Khachanov,99,0.5675675675675675,hard,aus
137,0.1111111111111111,0.5887850467289719,113.11111111111111,98.17948717948718,0.4647887323943662,0.5352112676056338,0.04672897196261682,M,Karen Khachanov,Jack Sock,119,0.6635514018691588,hard,aus
138,0.19791666666666666,0.7164179104477612,107.72916666666667,82.33333333333333,0.5,0.5,0.014925373134328358,M,Victor Estrella Burgos,Bernard Tomic,154,0.7313432835820896,hard,aus
139,0.125,0.6341463414634146,112.1923076923077,94.05660377358491,0.5185185185185185,0.48148148148148145,0.042682926829268296,M,Bernard Tomic,Victor Estrella Burgos,144,0.6585365853658537,hard,aus
140,0.05952380952380952,0.5874125874125874,112.29761904761905,92.57692307692308,0.42045454545454547,0.5795454545454546,0.04895104895104895,M,Marin Cilic,Daniel Evans,130,0.6153846153846154,hard,aus
141,0.20634920634920634,0.5727272727272728,118.65079365079364,91.88372093023256,0.5147058823529411,0.4852941176470588,0.03636363636363636,M,Daniel Evans,Marin Cilic,123,0.6181818181818182,hard,aus
142,0.27419354838709675,0.6739130434782609,114.1774193548387,95.52,0.5,0.5,0.05434782608695652,M,Alexandr Dolgopolov,Gael Monfils,116,0.6521739130434783,hard,aus
143,0.08333333333333333,0.5853658536585366,114.52777777777777,88.41304347826087,0.582089552238806,0.417910447761194,0.04065040650406504,M,Gael Monfils,Alexandr Dolgopolov,99,0.5447154471544715,hard,aus
144,0.08064516129032258,0.6666666666666666,105.24193548387096,82.17241379310344,0.5555555555555556,0.4444444444444444,0.021505376344086023,M,Philipp Kohlschreiber,Donald Young,66,0.4838709677419355,hard,aus
