ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0.5,0.529411765,0.5,0.470588235,M,Mikhail Youzhny,Marcos Baghdatis,hard,aus
0.714285714,0.53030303,0.285714286,0.46969697,M,Rafael Nadal,Florian Mayer,hard,aus
0.8,0.509433962,0.2,0.490566038,M,Florian Mayer,Rafael Nadal,hard,aus
0.5,0.421052632,0.5,0.578947368,M,Guido Pella,Roberto Bautista Agut,hard,aus
0,0.5,1,0.5,M,Roberto Bautista Agut,Guido Pella,hard,aus
0,0.52238806,1,0.47761194,M,Alex Bolt,Yoshihito Nishioka,hard,aus
0.526315789,0.5,0.473684211,0.5,M,Yoshihito Nishioka,Alex Bolt,hard,aus
0.5,0.518987342,0.5,0.481012658,M,Ernesto Escobedo,Daniil Medvedev,hard,aus
0.555555556,0.544117647,0.444444444,0.455882353,M,Daniil Medvedev,Ernesto Escobedo,hard,aus
0,0.390243902,1,0.609756098,M,David Ferrer,Omar Jasika,hard,aus
0.25,0.5,0.75,0.5,M,Omar Jasika,David Ferrer,hard,aus
1,0.487179487,0,0.512820513,M,Michael Mmoh,Gilles Simon,hard,aus
0.5,0.509803922,0.5,0.490196078,M,Gilles Simon,Michael Mmoh,hard,aus
0.444444444,0.564102564,0.555555556,0.435897436,M,Rogerio Dutra Silva,Jared Donaldson,hard,aus
0.538461538,0.519480519,0.461538462,0.480519481,M,Jared Donaldson,Rogerio Dutra Silva,hard,aus
0.333333333,0.527272727,0.666666667,0.472727273,M,Milos Raonic,Dustin Brown,hard,aus
0.642857143,0.48,0.357142857,0.52,M,Dustin Brown,Milos Raonic,hard,aus
0.583333333,0.5,0.416666667,0.5,M,Jan Lennard Struff,Dominic Thiem,hard,aus
0.384615385,0.445945946,0.615384615,0.554054054,M,Dominic Thiem,Jan Lennard Struff,hard,aus
0.545454545,0.443298969,0.454545455,0.556701031,M,Joao Sousa,Jordan Thompson,hard,aus
0,0.452054795,1,0.547945205,M,Jordan Thompson,Joao Sousa,hard,aus
0.333333333,0.4,0.666666667,0.6,M,Benoit Paire,Tommy Haas,hard,aus
0.523809524,0.441860465,0.476190476,0.558139535,M,Tommy Haas,Benoit Paire,hard,aus
0.8,0.441860465,0.2,0.558139535,M,Feliciano Lopez,Fabio Fognini,hard,aus
0.454545455,0.450704225,0.545454545,0.549295775,M,Fabio Fognini,Feliciano Lopez,hard,aus
0.558823529,0.514285714,0.441176471,0.485714286,M,Horacio Zeballos,Ivo Karlovic,hard,aus
0.481481481,0.5,0.518518519,0.5,M,Ivo Karlovic,Horacio Zeballos,hard,aus
0.615384615,0.560606061,0.384615385,0.439393939,M,Andrew Whittington,Adam Pavlasek,hard,aus
0.5,0.507692308,0.5,0.492307692,M,Adam Pavlasek,Andrew Whittington,hard,aus
0.8,0.465517241,0.2,0.534482759,M,Radek Stepanek,Dmitry Tursunov,hard,aus
0.733333333,0.546875,0.266666667,0.453125,M,Dmitry Tursunov,Radek Stepanek,hard,aus
0.619047619,0.517647059,0.380952381,0.482352941,M,David Goffin,Reilly Opelka,hard,aus
0.615384615,0.544303797,0.384615385,0.455696203,M,Reilly Opelka,David Goffin,hard,aus
0.4,0.574468085,0.6,0.425531915,M,Christopher O'Connell,Grigor Dimitrov,hard,aus
0.5,0.5625,0.5,0.4375,M,Grigor Dimitrov,Christopher O'Connell,hard,aus
0.857142857,0.527272727,0.142857143,0.472727273,M,Carlos Berlocq,Radu Albot,hard,aus
0.529411765,0.565217391,0.470588235,0.434782609,M,Radu Albot,Carlos Berlocq,hard,aus
0.571428571,0.510204082,0.428571429,0.489795918,M,Richard Gasquet,Blake Mott,hard,aus
1,0.509433962,0,0.490566038,M,Blake Mott,Richard Gasquet,hard,aus
0.583333333,0.558139535,0.416666667,0.441860465,M,Santiago Giraldo,Kyle Edmund,hard,aus
0.666666667,0.541666667,0.333333333,0.458333333,M,Kyle Edmund,Santiago Giraldo,hard,aus
0.5,0.487179487,0.5,0.512820513,M,Ivan Dodig,Denis Istomin,hard,aus
0.142857143,0.461538462,0.857142857,0.538461538,M,Denis Istomin,Ivan Dodig,hard,aus
0.2,0.436363636,0.8,0.563636364,M,Novak Djokovic,Fernando Verdasco,hard,aus
1,0.5,0,0.5,M,Fernando Verdasco,Novak Djokovic,hard,aus
0.444444444,0.477272727,0.555555556,0.522727273,M,Andrey Rublev,Andy Murray,hard,aus
0,0.481481481,1,0.518518519,M,Andy Murray,Andrey Rublev,hard,aus
0,0.514705882,1,0.485294118,M,Sam Querrey,Alex De Minaur,hard,aus
0.555555556,0.47826087,0.444444444,0.52173913,M,Alex De Minaur,Sam Querrey,hard,aus
0.5,0.475524476,0.5,0.524475524,M,Mischa Zverev,John Isner,hard,aus
0.4,0.534883721,0.6,0.465116279,M,John Isner,Mischa Zverev,hard,aus
0.25,0.520833333,0.75,0.479166667,M,Alexander Bublik,Malek Jaziri,hard,aus
0.4,0.48,0.6,0.52,M,Malek Jaziri,Alexander Bublik,hard,aus
0.666666667,0.479166667,0.333333333,0.520833333,M,Ryan Harrison,Tomas Berdych,hard,aus
0.666666667,0.5,0.333333333,0.5,M,Tomas Berdych,Ryan Harrison,hard,aus
0.5,0.543859649,0.5,0.456140351,M,Roger Federer,Noah Rubin,hard,aus
0.5625,0.492537313,0.4375,0.507462687,M,Noah Rubin,Roger Federer,hard,aus
0.625,0.515151515,0.375,0.484848485,M,Dudi Sela,Lukas Lacko,hard,aus
0.2,0.455882353,0.8,0.544117647,M,Lukas Lacko,Dudi Sela,hard,aus
0.4,0.518518519,0.6,0.481481481,M,Kei Nishikori,Jeremy Chardy,hard,aus
0.5,0.508196721,0.5,0.491803279,M,Jeremy Chardy,Kei Nishikori,hard,aus
0.636363636,0.425925926,0.363636364,0.574074074,M,Steve Johnson,Stan Wawrinka,hard,aus
1,0.5,0,0.5,M,Stan Wawrinka,Steve Johnson,hard,aus
0.625,0.459183673,0.375,0.540816327,M,Viktor Troicki,Paolo Lorenzi,hard,aus
0.55,0.452380952,0.45,0.547619048,M,Paolo Lorenzi,Viktor Troicki,hard,aus
0.2,0.447761194,0.8,0.552238806,M,Steve Darcis,Diego Schwartzman,hard,aus
0.2,0.5,0.8,0.5,M,Diego Schwartzman,Steve Darcis,hard,aus
0.4375,0.453488372,0.5625,0.546511628,M,Nick Kyrgios,Andreas Seppi,hard,aus
0.518518519,0.508474576,0.481481481,0.491525424,M,Andreas Seppi,Nick Kyrgios,hard,aus
0.266666667,0.444444444,0.733333333,0.555555556,M,Dusan Lajovic,Jo Wilfried Tsonga,hard,aus
0,0.578947368,1,0.421052632,M,Jo Wilfried Tsonga,Dusan Lajovic,hard,aus
0.6,0.5,0.4,0.5,M,Jack Sock,Karen Khachanov,hard,aus
0.428571429,0.492063492,0.571428571,0.507936508,M,Karen Khachanov,Jack Sock,hard,aus
0.526315789,0.552083333,0.473684211,0.447916667,M,Victor Estrella Burgos,Bernard Tomic,hard,aus
0.538461538,0.528846154,0.461538462,0.471153846,M,Bernard Tomic,Victor Estrella Burgos,hard,aus
0.2,0.535714286,0.8,0.464285714,M,Marin Cilic,Daniel Evans,hard,aus
0.615384615,0.492063492,0.384615385,0.507936508,M,Daniel Evans,Marin Cilic,hard,aus
0.411764706,0.532258065,0.588235294,0.467741935,M,Alexandr Dolgopolov,Gael Monfils,hard,aus
0.5,0.555555556,0.5,0.444444444,M,Gael Monfils,Alexandr Dolgopolov,hard,aus
0.8,0.483870968,0.2,0.516129032,M,Philipp Kohlschreiber,Donald Young,hard,aus
0.333333333,0.465116279,0.666666667,0.534883721,M,Donald Young,Philipp Kohlschreiber,hard,aus
0.666666667,0.545454545,0.333333333,0.454545455,M,Frances Tiafoe,Alexander Zverev,hard,aus
0.75,0.545454545,0.25,0.454545455,M,Alexander Zverev,Frances Tiafoe,hard,aus
0.714285714,0.452830189,0.285714286,0.547169811,M,Rafael Nadal,Marcos Baghdatis,hard,aus
0.4,0.515625,0.6,0.484375,M,Marcos Baghdatis,Rafael Nadal,hard,aus
0.555555556,0.492063492,0.444444444,0.507936508,M,Yoshihito Nishioka,Roberto Bautista Agut,hard,aus
0,0.464788732,1,0.535211268,M,Roberto Bautista Agut,Yoshihito Nishioka,hard,aus
0.5,0.485294118,0.5,0.514705882,M,David Ferrer,Ernesto Escobedo,hard,aus
0.833333333,0.488095238,0.166666667,0.511904762,M,Ernesto Escobedo,David Ferrer,hard,aus
0.333333333,0.425531915,0.666666667,0.574468085,M,Rogerio Dutra Silva,Gilles Simon,hard,aus
1,0.48,0,0.52,M,Gilles Simon,Rogerio Dutra Silva,hard,aus
0.714285714,0.507692308,0.285714286,0.492307692,M,Milos Raonic,Gilles Muller,hard,aus
0.523809524,0.524590164,0.476190476,0.475409836,M,Gilles Muller,Milos Raonic,hard,aus
0.5,0.454545455,0.5,0.545454545,M,Jordan Thompson,Dominic Thiem,hard,aus
1,0.507462687,0,0.492537313,M,Dominic Thiem,Jordan Thompson,hard,aus
0.65,0.552083333,0.35,0.447916667,M,Fabio Fognini,Benoit Paire,hard,aus
0,0.532608696,1,0.467391304,M,Benoit Paire,Fabio Fognini,hard,aus
