1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0,0.632352941,0,0,0.533333333,0.466666667,0.058823529,M,Renzo Olivo,Damir Dzumhur,84,0.661764706,grass,wimbledon
0.058823529,0.557377049,0,0,0.5,0.5,0.049180328,M,Damir Dzumhur,Renzo Olivo,45,0.360655738,grass,wimbledon
0.097222222,0.576,0,0,0.556818182,0.443181818,0.064,M,Henri Laaksonen,Lukas Rosol,130,0.704,grass,wimbledon
0.142857143,0.588235294,0,0,0.519480519,0.480519481,0.033613445,M,Lukas Rosol,Henri Laaksonen,114,0.647058824,grass,wimbledon
0.18,0.505050505,110.78,86.48837209,0.448275862,0.551724138,0.060606061,M,Gilles Muller,Marton Fucsovics,84,0.585858586,grass,wimbledon
0.120689655,0.644444444,114.9827586,100.2,0.5,0.5,0.022222222,M,Marton Fucsovics,Gilles Muller,105,0.711111111,grass,wimbledon
0.179487179,0.661016949,108.7435897,87.88888889,0.47826087,0.52173913,0.033898305,M,Marco Cecchinato,Kei Nishikori,83,0.779661017,grass,wimbledon
0.043478261,0.71875,100,94.23076923,0.555555556,0.444444444,0.078125,M,Kei Nishikori,Marco Cecchinato,40,0.421875,grass,wimbledon
0.129032258,0.596153846,0,0,0.552238806,0.447761194,0.057692308,M,Sergiy Stakhovsky,Julien Benneteau,112,0.644230769,grass,wimbledon
0.253731343,0.519379845,0,0,0.464285714,0.535714286,0.062015504,M,Julien Benneteau,Sergiy Stakhovsky,121,0.651162791,grass,wimbledon
0.081967213,0.54954955,0,0,0.526315789,0.473684211,0.036036036,M,Marius Copil,Peter Gojowczyk,130,0.684684685,grass,wimbledon
0.134146341,0.607407407,0,0,0.49382716,0.50617284,0.037037037,M,Peter Gojowczyk,Marius Copil,116,0.6,grass,wimbledon
0.18,0.595238095,0,0,0.534883721,0.465116279,0.071428571,M,Roberto Bautista Agut,Andreas Haider Maurer,62,0.511904762,grass,wimbledon
0.096153846,0.722222222,0,0,0.547169811,0.452830189,0,M,Andreas Haider Maurer,Roberto Bautista Agut,94,0.736111111,grass,wimbledon
0.174603175,0.63,112.4126984,97.45714286,0.555555556,0.444444444,0.02,M,Nicolas Kicker,Steve Johnson,101,0.72,grass,wimbledon
0.050847458,0.686046512,108.7288136,85.96296296,0.49122807,0.50877193,0,M,Steve Johnson,Nicolas Kicker,85,0.662790698,grass,wimbledon
0.091666667,0.652173913,0,0,0.513513514,0.486486486,0.032608696,M,Radu Albot,Facundo Bagnis,165,0.60326087,grass,wimbledon
0.036363636,0.714285714,0,0,0.53,0.47,0.019480519,M,Facundo Bagnis,Radu Albot,173,0.649350649,grass,wimbledon
0,0.47826087,0,0,0.636363636,0.363636364,0.130434783,M,Florian Mayer,Viktor Troicki,12,0.47826087,grass,wimbledon
0.153846154,0.764705882,0,0,0.4375,0.5625,0,M,Viktor Troicki,Florian Mayer,28,0.941176471,grass,wimbledon
0.050847458,0.655555556,111.6440678,94,0.470588235,0.529411765,0.022222222,M,Marin Cilic,Philipp Kohlschreiber,77,0.566666667,grass,wimbledon
0.267857143,0.636363636,120,96.06451613,0.419354839,0.580645161,0.011363636,M,Philipp Kohlschreiber,Marin Cilic,101,0.704545455,grass,wimbledon
0.243243243,0.672727273,127.2162162,113.0625,0.55,0.45,0.036363636,M,Jan Lennard Struff,Milos Raonic,120,0.727272727,grass,wimbledon
0.160714286,0.513761468,124.6785714,98.875,0.507246377,0.492753623,0.04587156,M,Milos Raonic,Jan Lennard Struff,99,0.633027523,grass,wimbledon
0.053333333,0.669642857,0,0,0.536231884,0.463768116,0.035714286,M,Nicolas Mahut,Mikhail Youzhny,109,0.616071429,grass,wimbledon
