,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0,0.06557377049180328,0.6224489795918368,116.32786885245902,96.4375,0.5396825396825397,0.4603174603174603,0.05102040816326531,M,Dusan Lajovic,Rafael Nadal,105,0.6428571428571429,hard,us
1,0.015384615384615385,0.7222222222222222,112.12307692307692,86.56521739130434,0.4791666666666667,0.5208333333333334,0.022222222222222223,M,Rafael Nadal,Dusan Lajovic,83,0.5333333333333333,hard,us
2,0.05263157894736842,0.5846153846153846,106.55263157894737,80.6086956521739,0.48936170212765956,0.5106382978723404,0.06153846153846154,M,Geoffrey Blancaneaux,Yuichi Sugita,86,0.7230769230769231,hard,us
3,0.07692307692307693,0.5416666666666666,109.07692307692308,88.04166666666667,0.42424242424242425,0.5757575757575758,0.125,M,Yuichi Sugita,Geoffrey Blancaneaux,51,0.4583333333333333,hard,us
4,0.17307692307692307,0.5252525252525253,118.86538461538461,101.51282051282051,0.4925373134328358,0.5074626865671642,0.08080808080808081,M,Richard Gasquet,Leonardo Mayer,120,0.6767676767676768,hard,us
5,0.015151515151515152,0.532258064516129,102.8030303030303,88.51923076923077,0.5211267605633803,0.4788732394366197,0.04838709677419355,M,Leonardo Mayer,Richard Gasquet,103,0.5725806451612904,hard,us
6,0.18181818181818182,0.4888888888888889,117.6590909090909,101.26829268292683,0.4489795918367347,0.5510204081632653,0.05555555555555555,M,Tomas Berdych,Ryan Harrison,84,0.5444444444444444,hard,us
7,0.14516129032258066,0.6078431372549019,120.46774193548387,85.91428571428571,0.5373134328358209,0.4626865671641791,0.049019607843137254,M,Ryan Harrison,Tomas Berdych,108,0.6568627450980392,hard,us
8,0.171875,0.5871559633027523,99.625,89.10526315789474,0.49295774647887325,0.5070422535211268,0.06422018348623854,M,Julien Benneteau,David Goffin,117,0.6513761467889908,hard,us
9,0.06779661016949153,0.5566037735849056,109.35593220338983,93.07142857142857,0.43333333333333335,0.5666666666666667,0.04716981132075472,M,David Goffin,Julien Benneteau,98,0.5660377358490566,hard,us
10,0.05084745762711865,0.5462962962962963,115.30508474576271,89.5609756097561,0.49230769230769234,0.5076923076923077,0.07407407407407407,M,Gael Monfils,Jeremy Chardy,95,0.6018518518518519,hard,us
11,0.3695652173913043,0.4742268041237113,115.84782608695652,98.3695652173913,0.47761194029850745,0.5223880597014925,0.05154639175257732,M,Jeremy Chardy,Gael Monfils,110,0.6907216494845361,hard,us
12,0.06896551724137931,0.6105263157894737,96.1896551724138,69.16129032258064,0.44,0.56,0.06315789473684211,M,Grigor Dimitrov,Vaclav Safranek,72,0.5263157894736842,hard,us
13,0.13333333333333333,0.5555555555555556,106.97777777777777,82.87878787878788,0.4915254237288136,0.5084745762711864,0.037037037037037035,M,Vaclav Safranek,Grigor Dimitrov,104,0.7283950617283951,hard,us
14,0.25396825396825395,0.5431034482758621,116.0952380952381,96.08163265306122,0.48717948717948717,0.5128205128205128,0.034482758620689655,M,Frances Tiafoe,Roger Federer,133,0.6724137931034483,hard,us
15,0.07042253521126761,0.5144927536231884,115.36619718309859,89.19672131147541,0.5662650602409639,0.43373493975903615,0.043478260869565216,M,Roger Federer,Frances Tiafoe,121,0.6014492753623188,hard,us
16,0.23863636363636365,0.5714285714285714,109.29545454545455,89.71186440677967,0.5051546391752577,0.4948453608247423,0.045454545454545456,M,Feliciano Lopez,Andrey Kuznetsov,131,0.6298701298701299,hard,us
17,0.2948717948717949,0.6046511627906976,123.8076923076923,99.23913043478261,0.5052631578947369,0.49473684210526314,0.03875968992248062,M,Andrey Kuznetsov,Feliciano Lopez,152,0.7364341085271318,hard,us
18,0.04054054054054054,0.7115384615384616,108.3108108108108,87.92857142857143,0.5362318840579711,0.463768115942029,0.019230769230769232,M,Nick Kyrgios,John Millman,116,0.6634615384615384,hard,us
19,0.21739130434782608,0.5948275862068966,121.79710144927536,96.425,0.463768115942029,0.5362318840579711,0.0603448275862069,M,John Millman,Nick Kyrgios,104,0.5948275862068966,hard,us
20,0.13043478260869565,0.5564516129032258,116.56521739130434,92.33333333333333,0.4691358024691358,0.5308641975308642,0.08064516129032258,M,Juan Martin del Potro,Henri Laaksonen,107,0.6532258064516129,hard,us
21,0.24242424242424243,0.6346153846153846,118.98484848484848,95.65625,0.5,0.5,0.057692307692307696,M,Henri Laaksonen,Juan Martin del Potro,121,0.75,hard,us
22,0.125,0.45454545454545453,114.375,91.23684210526316,0.48,0.52,0.11363636363636363,M,Taylor Fritz,Marcos Baghdatis,89,0.5681818181818182,hard,us
23,0.11666666666666667,0.5769230769230769,117.03333333333333,87.82051282051282,0.47692307692307695,0.5230769230769231,0.04807692307692308,M,Marcos Baghdatis,Taylor Fritz,103,0.625,hard,us
24,0.0196078431372549,0.6296296296296297,100.6078431372549,75.3076923076923,0.4878048780487805,0.5121951219512195,0.04938271604938271,M,Dominic Thiem,Alex de Minaur,60,0.5061728395061729,hard,us
25,0.0625,0.6956521739130435,105.04166666666667,89.61111111111111,0.48,0.52,0.043478260869565216,M,Alex de Minaur,Dominic Thiem,90,0.7246376811594203,hard,us
26,0.225,0.47058823529411764,121.775,89.61904761904762,0.4716981132075472,0.5283018867924528,0.03529411764705882,M,Gilles Simon,Sam Querrey,99,0.6235294117647059,hard,us
27,0.04081632653061224,0.5157894736842106,104.44897959183673,81.06818181818181,0.6122448979591837,0.3877551020408163,0.021052631578947368,M,Sam Querrey,Gilles Simon,81,0.5157894736842106,hard,us
